t[s],center_x,center_y,A_sample,dA_dx,dA_dy,amp,phi_var,phi_max,phi_min,phi_rms,E_micro,sigma_phi,micro_step_time[s]
0.16666666666666666,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5052500094650313,1.0115975001356574,-1.0115975001367141,0.7108094045664983,0.5546382362112557,168246.5674255635,0.5064685344696045
0.3333333333333333,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5078514504984144,1.0338005865181303,-1.0338005871100608,0.712636969728104,0.5573994645619893,168234.69039895016,0.2085866928100586
0.5,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5103494433946645,1.0578184717502856,-1.0578185216618257,0.7143874603377401,0.559984722714143,168236.56378153845,0.19858098030090332
0.6666666666666666,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5126893568842297,1.0755431031153873,-1.0755431031153866,0.7160232935771679,0.5622937995908426,168252.68845827034,0.15982747077941895
0.8333333333333333,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5148997395094329,1.0997184845990582,-1.0997184845990602,0.717565146553058,0.5646188819160007,168291.00992035773,0.6289269924163818
1.0,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5170093898201576,1.136729006882947,-1.1367148196548953,0.7190336500052861,0.5667244731255527,168358.07890892267,0.32430148124694824
1.1666666666666665,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5190264707536285,1.1849655372904981,-1.1849655372905052,0.7204349177832964,0.5687797256129243,168458.5163105518,0.31308865547180176
1.3333333333333333,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5208610792544165,1.2331231946696972,-1.2331033616662124,0.7217070591702575,0.5706595494127173,168585.90919844885,0.7381782531738281
1.5,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5224682333673125,1.2647848777447086,-1.2650625153088715,0.7228196409670254,0.572230523872449,168736.95997419237,0.3805239200592041
1.6666666666666665,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5239096394262819,1.2998642543949452,-1.299832755851956,0.7238160259573629,0.5737002319874588,168917.59471672575,0.2632479667663574
1.8333333333333333,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5252470527752796,1.3468695986690693,-1.3844642435882804,0.7247392998806534,0.5750166300531105,169132.06848971825,0.5787434577941895
2.0,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162465,0.5264857509716296,1.4036595352866554,-1.5710441476206503,0.7255933785557781,0.5762470116681596,169378.49918703205,1.460709810256958
60.166666666666664,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.49911273769219333,1.004206546707959,-1.0043063752620753,0.7064791137087881,0.5479005737196635,168402.8248265922,0.19754290580749512
60.333333333333336,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.5016856904691458,1.025921124948632,-1.0284794010687521,0.7082977417300964,0.5506324089975954,168442.52781393426,0.6201932430267334
60.5,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.5041553785906356,1.0496494851978693,-1.119199637657395,0.7100389983002793,0.5531901636419535,168492.19420030565,0.19032716751098633
60.666666666666664,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.5064669561802037,1.070852228500913,-1.1638266809748408,0.7116649188503583,0.5554730851244107,168549.38236948784,0.500713586807251
60.833333333333336,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.5086492445051912,1.092035458903973,-1.1891823829614219,0.7131964982274767,0.5577703342299504,168621.5141513033,0.3445417881011963
61.0,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.5107298181675521,1.1281401534394644,-1.2244322313990617,0.7146536355274173,0.5598482085880848,168714.09855542105,0.4981989860534668
61.166666666666664,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.5127166337169143,1.1802719774168473,-1.2556410200453032,0.7160423411712833,0.5618731799757515,168829.9471347709,0.5921487808227539
61.333333333333336,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.5145210755720551,1.224993656430991,-1.2553817566052918,0.7173012451147217,0.5637219750679895,168960.62221262138,0.6361649036407471
61.5,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.5160971673150022,1.257055041048152,-1.2570550283694997,0.7183990311707924,0.5652605823668416,169100.66458398878,0.5790984630584717
61.666666666666664,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.5175078197740342,1.2923137569072618,-1.2923137564391378,0.7193801640588736,0.5666955547169172,169257.6005115608,0.6453678607940674
61.833333333333336,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.5188166800767837,1.3363407333623623,-1.3363405388190224,0.7202893035166651,0.5679779689493584,169438.5794409437,0.599062442779541
62.0,21000.0,21000.0,0.9876029824810136,-1.5004898226071813e-05,-1.5004898226056718e-05,0.9937821604763358,0.520028838374189,1.3964528506852476,-1.396451923330342,0.7211302511039299,0.5691731240559106,169642.3848326174,0.6002616882324219
120.16666666666667,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.49779839548769095,1.0022129869541856,-1.0022562433111681,0.7055482943715247,0.5464581462092251,168276.8843214287,0.3895456790924072
120.33333333333333,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.5003613082336656,1.024665187992415,-1.0247295759813326,0.7073622186723804,0.5491785354230567,168263.92940834365,0.5635900497436523
120.5,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.5028220997817661,1.0505582757905918,-1.0505721148900633,0.7090994993074973,0.5517254762194876,168263.65495265863,0.6100959777832031
120.66666666666667,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.5051269137928468,1.0690345332155642,-1.0690345332155609,0.7107228108698409,0.5539998898459734,168276.52489786467,0.5663034915924072
120.83333333333333,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.5073040715530247,1.0890269637839327,-1.0890792694330873,0.7122528144015663,0.5562900197877654,168310.79114789068,0.5961182117462158
121.0,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.5093818756275638,1.1290379646673787,-1.129031794472426,0.7137099380506334,0.5583636926254109,168373.13995450462,0.37451672554016113
121.16666666666667,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.5113684107757881,1.1787416497578667,-1.1787416497578593,0.7151002802416905,0.560387520662218,168468.2329392974,0.47182369232177734
121.33333333333333,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.5131752110222065,1.2205318958383864,-1.2204092092544612,0.7163624857821448,0.5622385300201244,168589.8500285063,0.21064138412475586
121.5,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.5147579239704111,1.257279061924364,-1.2572790619244265,0.7174663225361629,0.5637851085588844,168734.85192398005,0.23775434494018555
121.66666666666667,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.5161776199376792,1.2882758907070184,-1.288307938832773,0.7184550229051896,0.5652321295596312,168909.54017071647,0.8289515972137451
121.83333333333333,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.5174953709727386,1.337533134467741,-1.3375331344677155,0.7193715110950988,0.5665285847204875,169118.54471242995,0.3821251392364502
122.0,21000.0,21000.0,0.9850191402502773,8.624572207408017e-06,8.62457220742254e-06,0.9924813047359015,0.5187163918238719,1.4619958576510326,-1.3931287777601555,0.7202196830372849,0.567740627102771,169360.14061419922,0.1797502040863037
180.16666666666666,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.49489523142314545,1.0010571054326498,-1.0010571054326503,0.703487904503476,0.5432708929213171,168371.43262798665,0.3398628234863281
180.33333333333334,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.49744657533634884,1.0231578905639076,-1.0231578905639072,0.7052989265215728,0.5459797229043903,168411.76380754312,0.22525382041931152
180.5,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.49989573217220395,1.1011861234951472,-1.0475204304177337,0.7070330491829224,0.5485160177750297,168463.1513348207,0.20508098602294922
180.66666666666666,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.5021883572910103,1.1601120341771343,-1.0632123979345334,0.7086524943772242,0.5507802319299306,168523.21524343127,0.19749855995178223
180.83333333333334,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.5043528321638666,1.198440246883267,-1.0881207897284408,0.7101780288782434,0.5530587175216383,168599.07817694906,0.17891573905944824
181.0,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.5064165760222052,1.2496590617522392,-1.125682357647641,0.7116295220072714,0.5551199038926964,168696.1236729672,0.5352568626403809
181.16666666666666,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.5083874374842815,1.2999215759657563,-1.1727939305049535,0.7130129298187795,0.5571289061513612,168817.13847305544,0.23181581497192383
181.33333333333334,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.5101774385536413,1.3185162806482886,-1.2198991830879535,0.7142670643404473,0.5589632227913939,168953.51121275633,0.670403242111206
181.5,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.5117410377308121,1.300740922906103,-1.2527835392926603,0.7153607749861888,0.5604901503860031,169099.64433974226,0.20753955841064453
181.66666666666666,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.5131403275753361,1.2855068436110122,-1.2855068524536293,0.7163381381984778,0.561914137023473,169262.67853331938,0.2764599323272705
181.83333333333334,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.5144381707859821,1.3337008642222108,-1.333701089721034,0.7172434534184107,0.563186387857717,169449.36694061453,0.4572446346282959
182.0,22000.0,22000.0,0.9792618404861821,-7.064382753989921e-06,-7.064382753975142e-06,0.9895765965735963,0.5156396007354082,1.3877390186049674,-1.3877390186049614,0.7180804978749034,0.5643718060175258,169658.33136860203,0.18802738189697266
240.16666666666666,22000.0,22000.0,0.9674264775153415,1.6139003342271148e-05,1.613900334228697e-05,0.9835784043559219,0.48890971073415984,0.9946706514457668,-0.9946288228320335,0.6992207884392718,0.5367005086636039,168309.08537671287,0.21335291862487793
240.33333333333334,22000.0,22000.0,0.9674264775153415,1.6139003342271148e-05,1.613900334228697e-05,0.9835784043559219,0.49142675765951666,1.0163271204620177,-1.0162647143091037,0.7010183719989521,0.5393722812191477,168295.95807337092,0.41649603843688965
240.5,22000.0,22000.0,0.9674264775153415,1.6139003342271148e-05,1.613900334228697e-05,0.9835784043559219,0.4938432987605957,1.038994969846678,-1.0389818699820517,0.7027398515413147,0.5418736279831692,168294.40420995417,0.19849681854248047
240.66666666666666,22000.0,22000.0,0.9674264775153415,1.6139003342271148e-05,1.613900334228697e-05,0.9835784043559219,0.496106395246504,1.0595329402697975,-1.059392335961355,0.7043482060649804,0.5441068792584214,168304.80163319298,0.4081850051879883
240.83333333333334,22000.0,22000.0,0.9674264775153415,1.6139003342271148e-05,1.613900334228697e-05,0.9835784043559219,0.4982440584874872,1.0815336360944283,-1.0814826014966805,0.7058640510721688,0.5463554906891744,168335.6918756713,0.20385527610778809
241.0,22000.0,22000.0,0.9674264775153415,1.6139003342271148e-05,1.613900334228697e-05,0.9835784043559219,0.5002840029138501,1.1164225254093458,-1.116428076664281,0.7073075731190824,0.5483912731663972,168393.87548884662,0.20974493026733398
241.16666666666666,22000.0,22000.0,0.9674264775153415,1.6139003342271148e-05,1.613900334228697e-05,0.9835784043559219,0.5022342075338085,1.1675267707667094,-1.167466541410873,0.7086848436274177,0.5503778101113845,168484.02297268267,0.5147311687469482
