t[s],x_t,y_t,A_sample,A_mean,A_var,A_max,A_min,macro_step_time[s]
2.0,20000.0,20000.0,0.9997680800807648,0.013217911585775477,0.006433076895974088,0.9997680800807647,-2.8299586300848234e-46,0.14212298393249512
62.0,21000.0,21000.0,0.9876029824810136,0.013138965933221473,0.00635321607305937,0.9876029824810135,-2.093810768000742e-45,0.06694483757019043
122.0,21000.0,21000.0,0.9850191402502773,0.013060311309357777,0.006274354276356359,0.9850191402502771,-2.183981779331446e-05,0.12483930587768555
182.0,22000.0,22000.0,0.9792618404861821,0.01298194354692568,0.006196479071748338,0.979261840486182,-0.00015628051386363295,0.07779836654663086
242.0,22000.0,22000.0,0.9674264775153415,0.01290385614648953,0.006119578244092824,0.9674264775153414,-0.00030436549878750193,0.05940985679626465
302.0,23000.0,23000.0,0.9679078296828884,0.012826046273003676,0.006043639636794175,0.9679078296828882,-0.00045153599457886656,0.12291717529296875
362.0,24000.0,24000.0,0.9561126513266922,0.012748515130484922,0.005968651139242403,0.9561126513266921,-0.0005987643895455753,0.06409454345703125
422.0,24000.0,24000.0,0.9536647414131842,0.012671265454515437,0.00589460075064895,0.9536647414131841,-0.0007377294347152854,0.0852358341217041
482.0,25000.0,25000.0,0.9480443535020948,0.01259429908083154,0.005821476642373729,0.9480443535020947,-0.0008734184323456621,0.14937877655029297
542.0,25000.0,25000.0,0.9366808800382054,0.012517616216831765,0.00574926717535375,0.9366808800382053,-0.0010058603242721284,0.0603640079498291
602.0,26000.0,26000.0,0.9370731783944091,0.012441216261847616,0.005677960876412123,0.9370731783944091,-0.001129721472140882,0.08052325248718262
662.0,27000.0,27000.0,0.9256371812715736,0.012365098982006769,0.005607546405105683,0.9256371812715735,-0.0012509474612833287,0.05931711196899414
722.0,27000.0,27000.0,0.9233179952255675,0.012289264991755755,0.005538012539070193,0.9233179952255673,-0.0013696570525206669,0.058661699295043945
782.0,28000.0,28000.0,0.917832436372169,0.01221371536480626,0.005469348182666796,0.9178324363721689,-0.0014773942211004443,0.16449475288391113
842.0,28000.0,28000.0,0.9069212005107022,0.01213845094424671,0.005401542383732315,0.9069212005107021,-0.0015783423342004032,0.05803656578063965
902.0,29000.0,29000.0,0.9072307077077026,0.012063472010428568,0.005334584340794061,0.9072307077077025,-0.0016799880457164262,0.07482147216796875
962.0,30000.0,30000.0,0.8961434306627184,0.011988778498764108,0.00526846339559796,0.8961434306627184,-0.0017704799760288401,0.09667444229125977
1022.0,30000.0,30000.0,0.8939461479459755,0.01191437045045825,0.0052031690194622345,0.8939461479459755,-0.0018503681414240704,0.05890321731567383
1082.0,31000.0,31000.0,0.8885932834051299,0.011840248254213218,0.005138690805307169,0.8885932834051298,-0.001935570786556552,0.06036996841430664
1142.0,31000.0,31000.0,0.8781154914859806,0.011766412513506843,0.005075018469759946,0.8781154914859804,-0.002009074460367602,0.15275907516479492
