t[s],center_x,center_y,A_sample,dA_dx,dA_dy,amp,phi_var,phi_max,phi_min,phi_rms,E_micro,sigma_phi,micro_step_time[s],amp_noisy,phi_var_noisy,phi_rms_noisy,E_micro_noisy
0.1666666666666666,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5052500094650313,1.0115975001356574,-1.011597500136714,0.7108094045664983,0.5546382362112557,168246.5674255635,0.5064685344696045,1.00323736550389,0.5053097039404258,0.7093828025426384,0.5549735694300201
0.3333333333333333,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5078514504984144,1.0338005865181303,-1.0338005871100608,0.712636969728104,0.5573994645619893,168234.69039895016,0.2085866928100586,1.0040070527579237,0.5074216759506079,0.7093494366602486,0.557811766506157
0.5,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5103494433946645,1.0578184717502856,-1.0578185216618257,0.7143874603377401,0.559984722714143,168236.56378153845,0.1985809803009033,1.0023566006650326,0.5104892697639583,0.713136225942291,0.5602319794490216
0.6666666666666666,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5126893568842297,1.0755431031153873,-1.0755431031153866,0.7160232935771679,0.5622937995908426,168252.68845827034,0.1598274707794189,1.003067261191596,0.5101081476698721,0.7147137874337088,0.5626121223783775
0.8333333333333333,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5148997395094329,1.0997184845990582,-1.0997184845990602,0.717565146553058,0.5646188819160007,168291.00992035773,0.6289269924163818,1.000554980789739,0.5132021246587389,0.716333459840066,0.56468597666335
1.0,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5170093898201576,1.136729006882947,-1.1367148196548953,0.7190336500052861,0.5667244731255527,168358.07890892267,0.3243014812469482,1.0021320610525204,0.5157127253485975,0.7179217818207984,0.5669492758991801
1.1666666666666663,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5190264707536285,1.184965537290498,-1.1849655372905052,0.7204349177832964,0.5687797256129243,168458.5163105518,0.3130886554718017,1.0020896406029518,0.5197378083202671,0.7210543431622638,0.5690002863415948
1.3333333333333333,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5208610792544165,1.2331231946696972,-1.2331033616662124,0.7217070591702575,0.5706595494127173,168585.90919844885,0.7381782531738281,1.003301818553969,0.5214503329616609,0.7211333466400638,0.5710013279364896
1.5,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5224682333673125,1.2647848777447086,-1.2650625153088717,0.7228196409670254,0.572230523872449,168736.95997419237,0.3805239200592041,1.0017593904913014,0.5233425475131033,0.7218586236661355,0.5724180595899545
1.6666666666666663,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5239096394262819,1.2998642543949452,-1.299832755851956,0.7238160259573629,0.5737002319874588,168917.59471672575,0.2632479667663574,1.001285570338582,0.523541866741262,0.7234626957459513,0.5738403856896923
1.8333333333333333,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5252470527752796,1.3468695986690693,-1.3844642435882804,0.7247392998806534,0.5750166300531105,169132.06848971825,0.5787434577941895,1.0016398679238963,0.5263953302881033,0.7247790434246097,0.5751922135138755
2.0,20000.0,20000.0,0.9997680800807648,7.991575804856814e-07,7.991575804850969e-07,0.9998840333162464,0.5264857509716296,1.4036595352866554,-1.5710441476206505,0.7255933785557781,0.5762470116681596,169378.49918703205,1.460709810256958,1.004638496371418,0.5288453815579027,0.7265804912249358,0.5767224579736768
60.16666666666666,21000.0,21000.0,0.9876029824810136,-1.5004898226071812e-05,-1.5004898226056718e-05,0.9937821604763358,0.4991127376921933,1.004206546707959,-1.0043063752620751,0.7064791137087881,0.5479005737196635,168402.8248265922,0.1975429058074951,0.996806614791184,0.49905647341641723,0.7057933407829204,0.5482030191511483
60.333333333333336,21000.0,21000.0,0.9876029824810136,-1.5004898226071812e-05,-1.5004898226056718e-05,0.9937821604763358,0.5016856904691458,1.025921124948632,-1.028479401068752,0.7082977417300964,0.5506324089975954,168442.52781393426,0.6201932430267334,0.9966380034612892,0.4993631299008707,0.7082062673615654,0.5509179932960907
60.5,21000.0,21000.0,0.9876029824810136,-1.5004898226071812e-05,-1.5004898226056718e-05,0.9937821604763358,0.5041553785906356,1.0496494851978693,-1.119199637657395,0.7100389983002793,0.5531901636419535,168492.19420030565,0.1903271675109863,0.994802734051905,0.5030817482097613,0.7108301366398712,0.5532922209995104
60.66666666666666,21000.0,21000.0,0.9876029824810136,-1.5004898226071812e-05,-1.5004898226056718e-05,0.9937821604763358,0.5064669561802037,1.070852228500913,-1.1638266809748408,0.7116649188503583,0.5554730851244107,168549.38236948784,0.500713586807251,0.9941811486390089,0.5051113579134361,0.7126254150475237,0.555512983940678
60.833333333333336,21000.0,21000.0,0.9876029824810136,-1.5004898226071812e-05,-1.5004898226056718e-05,0.9937821604763358,0.5086492445051912,1.092035458903973,-1.189182382961422,0.7131964982274767,0.5577703342299504,168621.5141513033,0.3445417881011963,0.9950375090062064,0.5081889278880808,0.7124245746080647,0.5578958690829374
61.0,21000.0,21000.0,0.9876029824810136,-1.5004898226071812e-05,-1.5004898226056718e-05,0.9937821604763358,0.5107298181675521,1.1281401534394644,-1.2244322313990617,0.7146536355274173,0.5598482085880848,168714.09855542105,0.4981989860534668,0.9972907956383951,0.5085991492420547,0.7142995858236784,0.5601990721042908
61.16666666666666,21000.0,21000.0,0.9876029824810136,-1.5004898226071812e-05,-1.5004898226056718e-05,0.9937821604763358,0.5127166337169143,1.1802719774168473,-1.2556410200453032,0.7160423411712833,0.5618731799757515,168829.9471347709,0.5921487808227539,0.9984750359243337,0.5104897568807563,0.7181111002948167,0.5623424675205513
