t[s],x_t,y_t,A_sample,A_mean,A_var,A_max,A_min,macro_step_time[s],A_sample_noisy,A_mean_noisy,A_max_noisy,A_min_noisy
2.0,20000.0,20000.0,0.9997680800807648,0.0132179115857754,0.006433076895974,0.9997680800807648,-2.8299586300848234e-46,0.1421229839324951,1.0045516546351636,0.015609698862974784,1.0035949397242838,0.003826859643519014
62.0,21000.0,21000.0,0.9876029824810136,0.0131389659332214,0.0063532160730593,0.9876029824810136,-2.093810768000742e-45,0.0669448375701904,0.9937147966009718,0.016194872993200528,0.9924924337769803,0.004889451295966603
122.0,21000.0,21000.0,0.9850191402502771,0.0130603113093577,0.0062743542763563,0.9850191402502771,-2.183981779331446e-05,0.1248393058776855,0.9891001074017596,0.01510079488509894,0.9882839139714631,0.0032429339033926683
182.0,22000.0,22000.0,0.979261840486182,0.0129819435469256,0.0061964790717483,0.979261840486182,-0.0001562805138636,0.0777983665466308,0.9845330439079252,0.015617545257797148,0.9834788032235765,0.004060682223530877
242.0,22000.0,22000.0,0.9674264775153416,0.0129038561464895,0.0061195782440928,0.9674264775153414,-0.0003043654987875,0.0594098567962646,0.9751064488764967,0.016743841827067004,0.9735704546042654,0.005839611590136509
302.0,23000.0,23000.0,0.9679078296828884,0.0128260462730036,0.0060436396367941,0.9679078296828882,-0.0004515359945788,0.1229171752929687,0.9744392456588921,0.016091754261005467,0.9731329624636912,0.004773596786224191
362.0,24000.0,24000.0,0.9561126513266922,0.0127485151304849,0.0059686511392424,0.956112651326692,-0.0005987643895455,0.0640945434570312,0.9600315918593879,0.014707985396832724,0.9592478037528485,0.0025363880366110186
422.0,24000.0,24000.0,0.9536647414131842,0.0126712654545154,0.0058946007506489,0.953664741413184,-0.0007377294347152,0.0852358341217041,0.9590576528288874,0.015367721162367001,0.9579790705457466,0.003576599697847362
482.0,25000.0,25000.0,0.9480443535020948,0.0125942990808315,0.0058214766423737,0.9480443535020948,-0.0008734184323456,0.1493787765502929,0.9538432139400108,0.015493729299789523,0.9526834418524277,0.0037656699179872367
542.0,25000.0,25000.0,0.9366808800382054,0.0125176162168317,0.0057492671753537,0.9366808800382052,-0.0010058603242721,0.0603640079498291,0.9415152118044539,0.014934782099955957,0.9405483454512039,0.0028616050887267093
