t,A_sample_noisy,A_sample_lag1
2.0,0.9899947621199178,
62.0,0.9760379470949476,0.9899947621199178
122.0,0.9765720841637414,0.9760379470949476
182.0,0.9684696411209058,0.9765720841637414
242.0,0.954644513421723,0.9684696411209058
302.0,0.9517261730900338,0.954644513421723
362.0,0.9426694914219468,0.9517261730900338
422.0,0.938088665734504,0.9426694914219468
482.0,0.9292991428070884,0.938088665734504
542.0,0.9248081932437956,0.9292991428070884
602.0,0.926087397143397,0.9248081932437956
662.0,0.916821314032691,0.926087397143397
722.0,0.91347460847721,0.916821314032691
782.0,0.9092839794488148,0.91347460847721
842.0,0.9040042466426842,0.9092839794488148
902.0,0.9108098451863592,0.9040042466426842
962.0,0.9028759220217164,0.9108098451863592
1022.0,0.8962967108936227,0.9028759220217164
1082.0,0.8955866434019675,0.8962967108936227
1142.0,0.8891008258784238,0.8955866434019675
1202.0,0.8849045062403833,0.8891008258784238
1262.0,0.8751401930678604,0.8849045062403833
1322.0,0.8726689508292396,0.8751401930678604
1382.0,0.86076146646533,0.8726689508292396
1442.0,0.8509378419675072,0.86076146646533
1502.0,0.8516827845327912,0.8509378419675072
1562.0,0.8407996888986308,0.8516827845327912
1622.0,0.8398104232178253,0.8407996888986308
1682.0,0.8347188463606392,0.8398104232178253
1742.0,0.8198211113503863,0.8347188463606392
1802.0,0.8243966696725431,0.8198211113503863
1862.0,0.8234467377342687,0.8243966696725431
1922.0,0.8217476808801042,0.8234467377342687
1982.0,0.8172183899441121,0.8217476808801042
2042.0,0.8078894804285771,0.8172183899441121
2102.0,0.7976234800118622,0.8078894804285771
2162.0,0.7809502594065769,0.7976234800118622
2222.0,0.7871063653610116,0.7809502594065769
2282.0,0.7804944929861133,0.7871063653610116
2342.0,0.7678815034164093,0.7804944929861133
2402.0,0.7644435716572138,0.7678815034164093
2462.0,0.753105266276536,0.7644435716572138
2522.0,0.7492615600182145,0.753105266276536
2582.0,0.7490693441375479,0.7492615600182145
2642.0,0.7369601526542858,0.7490693441375479
2702.0,0.7379290995698001,0.7369601526542858
2762.0,0.7321709638391348,0.7379290995698001
2822.0,0.7322871888163627,0.7321709638391348
2882.0,0.726481125888419,0.7322871888163627
2942.0,0.7184442321159403,0.726481125888419
3002.0,0.7187180994370871,0.7184442321159403
3062.0,0.7143729626655758,0.7187180994370871
3122.0,0.714423275340804,0.7143729626655758
3182.0,0.7136241499005269,0.714423275340804
3242.0,0.700924563698248,0.7136241499005269
3302.0,0.7071497247806898,0.700924563698248
3362.0,0.6998830852772193,0.7071497247806898
3422.0,0.6984996335025575,0.6998830852772193
3482.0,0.6985145052607296,0.6984996335025575
3542.0,0.6882795180960144,0.6985145052607296
3602.0,0.6823062007715709,0.6882795180960144
3662.0,0.6750297105599792,0.6823062007715709
3722.0,0.6769251811559612,0.6750297105599792
3782.0,0.6727760463410705,0.6769251811559612
3842.0,0.658975077304025,0.6727760463410705
3902.0,0.6516267890612185,0.658975077304025
3962.0,0.6400418883844737,0.6516267890612185
4022.0,0.6475681408558662,0.6400418883844737
4082.0,0.6384526094250034,0.6475681408558662
4142.0,0.6332574843372022,0.6384526094250034
4202.0,0.6292532090285443,0.6332574843372022
4262.0,0.621375049856048,0.6292532090285443
4322.0,0.6147086940802213,0.621375049856048
4382.0,0.6085101476603465,0.6147086940802213
4442.0,0.5963308817765826,0.6085101476603465
4502.0,0.6017268938480274,0.5963308817765826
4562.0,0.5986962561549527,0.6017268938480274
4622.0,0.5971872555481391,0.5986962561549527
4682.0,0.6030016038306611,0.5971872555481391
4742.0,0.598089427884,0.6030016038306611
4802.0,0.6047094803349974,0.598089427884
4862.0,0.5956427047643812,0.6047094803349974
4922.0,0.5982435164290046,0.5956427047643812
4982.0,0.5908970454134614,0.5982435164290046
5042.0,0.5841470824705843,0.5908970454134614
5102.0,0.5866041701378265,0.5841470824705843
5162.0,0.5799811485041358,0.5866041701378265
5222.0,0.5757048913943521,0.5799811485041358
5282.0,0.5768005457231584,0.5757048913943521
5342.0,0.5796736565175633,0.5768005457231584
5402.0,0.5756919096565409,0.5796736565175633
5462.0,0.5671061741879769,0.5756919096565409
5522.0,0.5633662783445903,0.5671061741879769
5582.0,0.5587943721002849,0.5633662783445903
5642.0,0.5557372787035159,0.5587943721002849
5702.0,0.5561372039672796,0.5557372787035159
5762.0,0.5482985578673911,0.5561372039672796
5822.0,0.5468601164739448,0.5482985578673911
5882.0,0.5476840173739717,0.5468601164739448
5942.0,0.5387256097986057,0.5476840173739717
6002.0,0.5289454658432189,0.5387256097986057
6062.0,0.5226479850799614,0.5289454658432189
6122.0,0.5215349174746458,0.5226479850799614
6182.0,0.5195252020090294,0.5215349174746458
6242.0,0.5040137916080898,0.5195252020090294
6302.0,0.5005598866339853,0.5040137916080898
6362.0,0.4941640153939902,0.5005598866339853
6422.0,0.4950742165488672,0.4941640153939902
6482.0,0.4887710992296379,0.4950742165488672
6542.0,0.4863008429592133,0.4887710992296379
6602.0,0.4811528419619044,0.4863008429592133
6662.0,0.4696453359203699,0.4811528419619044
6722.0,0.4746692767501191,0.4696453359203699
6782.0,0.4789726188118056,0.4746692767501191
6842.0,0.4700359936232988,0.4789726188118056
6902.0,0.4649284768610712,0.4700359936232988
6962.0,0.4559298076544595,0.4649284768610712
7022.0,0.462387536662783,0.4559298076544595
7082.0,0.4579385124549902,0.462387536662783
7142.0,0.4515960409221181,0.4579385124549902
7202.0,0.4507116456848913,0.4515960409221181
7262.0,0.443686934396151,0.4507116456848913
7322.0,0.4467332008758387,0.443686934396151
7382.0,0.4391251827112971,0.4467332008758387
7442.0,0.4356897669337062,0.4391251827112971
7502.0,0.438614538183338,0.4356897669337062
7562.0,0.4355988526583356,0.438614538183338
7622.0,0.4346148529425233,0.4355988526583356
7682.0,0.4329783046121575,0.4346148529425233
7742.0,0.4326219040627543,0.4329783046121575
7802.0,0.4383545656340254,0.4326219040627543
7862.0,0.4391909493414493,0.4383545656340254
7922.0,0.4342800913396377,0.4391909493414493
7982.0,0.4333950173018525,0.4342800913396377
8042.0,0.424954523979311,0.4333950173018525
8102.0,0.4159653432914814,0.424954523979311
8162.0,0.4146636962971892,0.4159653432914814
8222.0,0.4145254152995397,0.4146636962971892
8282.0,0.4085846857259999,0.4145254152995397
8342.0,0.4131085238004264,0.4085846857259999
8402.0,0.4087429240913506,0.4131085238004264
8462.0,0.4038506172998622,0.4087429240913506
8522.0,0.4054689115329783,0.4038506172998622
8582.0,0.3972237111768113,0.4054689115329783
8642.0,0.3921321834952895,0.3972237111768113
8702.0,0.396523798200108,0.3921321834952895
8762.0,0.3868867489274743,0.396523798200108
