t,A_sample_noisy,A_sample_lag1,delta_y,delta_y_lag1,delta_y_lag5
422.0,0.938088665734504,0.9426694914219468,-0.00458082568744278,-0.009056681668087041,0.0005341370687937941
482.0,0.9292991428070884,0.938088665734504,-0.008789522927415638,-0.00458082568744278,-0.008102443042835583
542.0,0.9248081932437956,0.9292991428070884,-0.004490949563292768,-0.008789522927415638,-0.013825127699182871
602.0,0.926087397143397,0.9248081932437956,0.0012792038996014554,-0.004490949563292768,-0.00291834033168914
662.0,0.916821314032691,0.926087397143397,-0.009266083110706091,0.0012792038996014554,-0.009056681668087041
722.0,0.91347460847721,0.916821314032691,-0.003346705555481,-0.009266083110706091,-0.00458082568744278
782.0,0.9092839794488148,0.91347460847721,-0.004190629028395176,-0.003346705555481,-0.008789522927415638
842.0,0.9040042466426842,0.9092839794488148,-0.005279732806130588,-0.004190629028395176,-0.004490949563292768
902.0,0.9108098451863592,0.9040042466426842,0.006805598543675018,-0.005279732806130588,0.0012792038996014554
962.0,0.9028759220217164,0.9108098451863592,-0.007933923164642809,0.006805598543675018,-0.009266083110706091
1022.0,0.8962967108936227,0.9028759220217164,-0.006579211128093676,-0.007933923164642809,-0.003346705555481
1082.0,0.8955866434019675,0.8962967108936227,-0.000710067491655253,-0.006579211128093676,-0.004190629028395176
1142.0,0.8891008258784238,0.8955866434019675,-0.006485817523543713,-0.000710067491655253,-0.005279732806130588
1202.0,0.8849045062403833,0.8891008258784238,-0.004196319638040458,-0.006485817523543713,0.006805598543675018
1262.0,0.8751401930678604,0.8849045062403833,-0.00976431317252291,-0.004196319638040458,-0.007933923164642809
1322.0,0.8726689508292396,0.8751401930678604,-0.00247124223862083,-0.00976431317252291,-0.006579211128093676
1382.0,0.86076146646533,0.8726689508292396,-0.011907484363909537,-0.00247124223862083,-0.000710067491655253
1442.0,0.8509378419675072,0.86076146646533,-0.009823624497822814,-0.011907484363909537,-0.006485817523543713
1502.0,0.8516827845327912,0.8509378419675072,0.0007449425652840125,-0.009823624497822814,-0.004196319638040458
1562.0,0.8407996888986308,0.8516827845327912,-0.010883095634160456,0.0007449425652840125,-0.00976431317252291
1622.0,0.8398104232178253,0.8407996888986308,-0.0009892656808054845,-0.010883095634160456,-0.00247124223862083
1682.0,0.8347188463606392,0.8398104232178253,-0.0050915768571860864,-0.0009892656808054845,-0.011907484363909537
1742.0,0.8198211113503863,0.8347188463606392,-0.014897735010252933,-0.0050915768571860864,-0.009823624497822814
1802.0,0.8243966696725431,0.8198211113503863,0.004575558322156836,-0.014897735010252933,0.0007449425652840125
1862.0,0.8234467377342687,0.8243966696725431,-0.0009499319382744176,0.004575558322156836,-0.010883095634160456
1922.0,0.8217476808801042,0.8234467377342687,-0.0016990568541644935,-0.0009499319382744176,-0.0009892656808054845
1982.0,0.8172183899441121,0.8217476808801042,-0.004529290935992081,-0.0016990568541644935,-0.0050915768571860864
2042.0,0.8078894804285771,0.8172183899441121,-0.009328909515535,-0.004529290935992081,-0.014897735010252933
2102.0,0.7976234800118622,0.8078894804285771,-0.010266000416714882,-0.009328909515535,0.004575558322156836
2162.0,0.7809502594065769,0.7976234800118622,-0.01667322060528531,-0.010266000416714882,-0.0009499319382744176
2222.0,0.7871063653610116,0.7809502594065769,0.006156105954434721,-0.01667322060528531,-0.0016990568541644935
2282.0,0.7804944929861133,0.7871063653610116,-0.006611872374898353,0.006156105954434721,-0.004529290935992081
2342.0,0.7678815034164093,0.7804944929861133,-0.012612989569704025,-0.006611872374898353,-0.009328909515535
2402.0,0.7644435716572138,0.7678815034164093,-0.0034379317591954894,-0.012612989569704025,-0.010266000416714882
2462.0,0.753105266276536,0.7644435716572138,-0.011338305380677816,-0.0034379317591954894,-0.01667322060528531
2522.0,0.7492615600182145,0.753105266276536,-0.003843706258321422,-0.011338305380677816,0.006156105954434721
2582.0,0.7490693441375479,0.7492615600182145,-0.0001922158806666463,-0.003843706258321422,-0.006611872374898353
2642.0,0.7369601526542858,0.7490693441375479,-0.01210919148326206,-0.0001922158806666463,-0.012612989569704025
2702.0,0.7379290995698001,0.7369601526542858,0.0009689469155143016,-0.01210919148326206,-0.0034379317591954894
2762.0,0.7321709638391348,0.7379290995698001,-0.005758135730665304,0.0009689469155143016,-0.011338305380677816
2822.0,0.7322871888163627,0.7321709638391348,0.0001162249772278523,-0.005758135730665304,-0.003843706258321422
2882.0,0.726481125888419,0.7322871888163627,-0.005806062927943723,0.0001162249772278523,-0.0001922158806666463
2942.0,0.7184442321159403,0.726481125888419,-0.008036893772478626,-0.005806062927943723,-0.01210919148326206
3002.0,0.7187180994370871,0.7184442321159403,0.00027386732114675905,-0.008036893772478626,0.0009689469155143016
3062.0,0.7143729626655758,0.7187180994370871,-0.004345136771511271,0.00027386732114675905,-0.005758135730665304
3122.0,0.714423275340804,0.7143729626655758,5.0312675228147974e-05,-0.004345136771511271,0.0001162249772278523
3182.0,0.7136241499005269,0.714423275340804,-0.0007991254402770487,5.0312675228147974e-05,-0.005806062927943723
3242.0,0.700924563698248,0.7136241499005269,-0.012699586202278956,-0.0007991254402770487,-0.008036893772478626
3302.0,0.7071497247806898,0.700924563698248,0.006225161082441866,-0.012699586202278956,0.00027386732114675905
3362.0,0.6998830852772193,0.7071497247806898,-0.007266639503470507,0.006225161082441866,-0.004345136771511271
3422.0,0.6984996335025575,0.6998830852772193,-0.0013834517746618147,-0.007266639503470507,5.0312675228147974e-05
3482.0,0.6985145052607296,0.6984996335025575,1.4871758172052552e-05,-0.0013834517746618147,-0.0007991254402770487
3542.0,0.6882795180960144,0.6985145052607296,-0.010234987164715159,1.4871758172052552e-05,-0.012699586202278956
3602.0,0.6823062007715709,0.6882795180960144,-0.005973317324443506,-0.010234987164715159,0.006225161082441866
3662.0,0.6750297105599792,0.6823062007715709,-0.007276490211591713,-0.005973317324443506,-0.007266639503470507
3722.0,0.6769251811559612,0.6750297105599792,0.0018954705959820517,-0.007276490211591713,-0.0013834517746618147
3782.0,0.6727760463410705,0.6769251811559612,-0.004149134814890765,0.0018954705959820517,1.4871758172052552e-05
3842.0,0.658975077304025,0.6727760463410705,-0.013800969037045419,-0.004149134814890765,-0.010234987164715159
3902.0,0.6516267890612185,0.658975077304025,-0.007348288242806533,-0.013800969037045419,-0.005973317324443506
3962.0,0.6400418883844737,0.6516267890612185,-0.01158490067674478,-0.007348288242806533,-0.007276490211591713
4022.0,0.6475681408558662,0.6400418883844737,0.007526252471392492,-0.01158490067674478,0.0018954705959820517
4082.0,0.6384526094250034,0.6475681408558662,-0.009115531430862855,0.007526252471392492,-0.004149134814890765
